[1] "191 forecasted vs actual:  6.24406365522002 6.26149168432104"
[1] "192 forecasted vs actual:  6.26563311683001 6.26149168432104"
[1] "193 forecasted vs actual:  6.2121468987541 6.22257626807137"
[1] "194 forecasted vs actual:  6.14397690186164 6.13988455222626"
[1] "195 forecasted vs actual:  6.00792235219151 6.00635315960173"
[1] "196 forecasted vs actual:  5.85178063593157 5.85507192220243"
[1] "197 forecasted vs actual:  5.73216129198336 5.74300318780948"
[1] "198 forecasted vs actual:  5.67105333407791 5.67675380226828"
[1] "199 forecasted vs actual:  5.64024874902585 5.64544689764324"
[1] "200 forecasted vs actual:  5.63322435995455 5.64190707093811"
[1] "201 forecasted vs actual:  5.64624326418243 5.64897423816121"
[1] "202 forecasted vs actual:  5.70714109529353 5.72358510195238"
[1] "203 forecasted vs actual:  5.85561949503428 5.86078622346587"
[1] "204 forecasted vs actual:  5.98477604717738 5.99396142730657"
[1] "205 forecasted vs actual:  6.05173049815398 6.01859321449623"
[1] "206 forecasted vs actual:  6.02868607553241 6.02102334934953"
[1] "207 forecasted vs actual:  6.02634054256511 6.00141487796115"
[1] "208 forecasted vs actual:  5.98234707149491 5.97380961186926"
[1] "209 forecasted vs actual:  5.95733580637037 5.95064255258773"
[1] "210 forecasted vs actual:  5.95508262717795 5.94017125272043"
[1] "211 forecasted vs actual:  5.94267512489765 5.92958914338989"
[1] "212 forecasted vs actual:  5.93491140650931 5.92692602597041"
[1] "213 forecasted vs actual:  5.99389562869268 5.96870755998537"
[1] "214 forecasted vs actual:  6.08797813721082 6.10479323241498"
[1] "215 forecasted vs actual:  6.19962890052488 6.22653666928747"
[1] "216 forecasted vs actual:  6.23606742070114 6.22851100359118"
[1] "217 forecasted vs actual:  6.17951453542351 6.19847871649231"
[1] "218 forecasted vs actual:  6.11400519608883 6.12029741895095"
[1] "219 forecasted vs actual:  5.98626111757566 5.98896141688986"
[1] "220 forecasted vs actual:  5.83818514308073 5.85507192220243"
[1] "221 forecasted vs actual:  5.74128358865181 5.74620319054015"
[1] "222 forecasted vs actual:  5.67900720687424 5.68357976733868"
[1] "223 forecasted vs actual:  5.6496284675569 5.65248918026865"
[1] "224 forecasted vs actual:  5.63665101400757 5.64897423816121"
[1] "225 forecasted vs actual:  5.66113464379484 5.65948221575962"
[1] "226 forecasted vs actual:  5.71280912125747 5.72358510195238"
[1] "227 forecasted vs actual:  5.85925985244949 5.86078622346587"
[1] "228 forecasted vs actual:  5.98919481098409 6.00141487796115"
[1] "229 forecasted vs actual:  6.0581901086101 6.0591231955818"
[1] "230 forecasted vs actual:  6.06535929188104 6.07304453410041"
[1] "231 forecasted vs actual:  6.06907653625247 6.0591231955818"
[1] "232 forecasted vs actual:  6.03604812027618 6.03787091992214"
[1] "233 forecasted vs actual:  6.02856411082877 6.0137151560428"
[1] "234 forecasted vs actual:  6.00148558824523 6.00388706710654"
[1] "235 forecasted vs actual:  6.00008980123925 5.99396142730657"
[1] "236 forecasted vs actual:  5.99862782013185 5.99396142730657"
[1] "237 forecasted vs actual:  6.04795891227968 6.03068526026126"
[1] "238 forecasted vs actual:  6.14668400440704 6.14203740558736"
[1] "239 forecasted vs actual:  6.21826149811119 6.25382881157547"
[1] "240 forecasted vs actual:  6.26417255475338 6.24804287450843"
[1] "241 forecasted vs actual:  6.19627364780156 6.21260609575152"
[1] "242 forecasted vs actual:  6.12300065172354 6.12249280951439"
[1] "243 forecasted vs actual:  5.99033590224861 6.00388706710654"
[1] "244 forecasted vs actual:  5.86111691950946 5.88332238848828"
[1] "245 forecasted vs actual:  5.7683626627766 5.74300318780948"
[1] "246 forecasted vs actual:  5.65792317261293 5.68697535633982"
[1] "247 forecasted vs actual:  5.65957050233967 5.65948221575962"
[1] "248 forecasted vs actual:  5.64444868335769 5.65248918026865"
[1] "249 forecasted vs actual:  5.65605952079995 5.66296048013595"
[1] "250 forecasted vs actual:  5.72128516382851 5.68697535633982"
[1] "251 forecasted vs actual:  5.81512367997623 5.77455154554441"
[1] "252 forecasted vs actual:  5.89586083898356 5.87773578177964"
[1] "253 forecasted vs actual:  5.9330337573156 5.98141421125448"
[1] "254 forecasted vs actual:  6.03609729244016 6.04500531403601"
[1] "255 forecasted vs actual:  6.04940449992499 6.06378520868761"
[1] "256 forecasted vs actual:  6.04813481608939 6.06610809010375"
[1] "257 forecasted vs actual:  6.04397923447745 6.03787091992214"
[1] "258 forecasted vs actual:  6.03010491990326 6.01615715969835"
[1] "259 forecasted vs actual:  6.00349799202526 5.98896141688986"
[1] "260 forecasted vs actual:  5.97622587347414 5.97126183979046"
[1] "261 forecasted vs actual:  6.03287156359043 6.00141487796115"
[1] "262 forecasted vs actual:  6.12061510321168 6.11809719804135"
[1] "263 forecasted vs actual:  6.21204471270885 6.23832462503951"
[1] "264 forecasted vs actual:  6.25099566002511 6.24222326545517"
[1] "265 forecasted vs actual:  6.208438573562 6.20657592672493"
[1] "266 forecasted vs actual:  6.12936682705118 6.12249280951439"
[1] "267 forecasted vs actual:  5.98861298142071 6.00881318544259"
[1] "268 forecasted vs actual:  5.86200779729124 5.88332238848828"
[1] "269 forecasted vs actual:  5.76526382996021 5.77144112313002"
[1] "270 forecasted vs actual:  5.69734772067268 5.6970934865054"
[1] "271 forecasted vs actual:  5.6552456288395 5.65948221575962"
[1] "272 forecasted vs actual:  5.64527857288155 5.64544689764324"
[1] "273 forecasted vs actual:  5.64859117832369 5.64190707093811"
[1] "274 forecasted vs actual:  5.68728470802318 5.64897423816121"
[1] "275 forecasted vs actual:  5.77642800085442 5.73009978297357"
[1] "276 forecasted vs actual:  5.86367986718689 5.78074351579233"
[1] "277 forecasted vs actual:  5.82305606877766 5.85793315448346"
[1] "278 forecasted vs actual:  5.89780982039604 5.89440283426485"
[1] "279 forecasted vs actual:  5.92630445681822 5.88887795833288"
[1] "280 forecasted vs actual:  5.88126080950168 5.8664680569333"
[1] "281 forecasted vs actual:  5.85797085688003 5.84932477994686"
[1] "282 forecasted vs actual:  5.86249577217357 5.82894561761021"
[1] "283 forecasted vs actual:  5.83582028095456 5.80513496891649"
